Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,3173.000000,3235.959961,3161.239990,3226.729980,3226.729980,3334900
2021-04-06,3223.750000,3247.310059,3217.040039,3223.820068,3223.820068,2537800
2021-04-07,3233.800049,3303.610107,3223.649902,3279.389893,3279.389893,3346200
2021-04-08,3310.899902,3324.500000,3292.000000,3299.300049,3299.300049,2812100
2021-04-09,3304.699951,3372.199951,3288.899902,3372.199951,3372.199951,4341500
2021-04-12,3355.209961,3395.040039,3351.149902,3379.389893,3379.389893,3281800
2021-04-13,3400.850098,3432.000000,3395.629883,3400.000000,3400.000000,3315800
2021-04-14,3404.040039,3404.129883,3326.000000,3333.000000,3333.000000,3145200
2021-04-15,3371.000000,3397.000000,3352.000000,3379.090088,3379.090088,3233600
2021-04-16,3380.000000,3406.800049,3355.590088,3399.439941,3399.439941,3186000
2021-04-19,3390.330078,3435.929932,3360.159912,3372.010010,3372.010010,2725400
2021-04-20,3373.600098,3382.989990,3316.000000,3334.689941,3334.689941,2623000
2021-04-21,3316.000000,3362.860107,3303.810059,3362.020020,3362.020020,2211200
2021-04-22,3371.679932,3372.870117,3301.449951,3309.040039,3309.040039,2580600
2021-04-23,3319.100098,3375.000000,3308.500000,3340.879883,3340.879883,3192800
2021-04-26,3348.000000,3428.449951,3330.939941,3409.000000,3409.000000,4880700
2021-04-27,3443.469971,3460.000000,3398.010010,3417.429932,3417.429932,3827100
2021-04-28,3434.800049,3489.879883,3425.000000,3458.500000,3458.500000,4631900
2021-04-29,3505.100098,3514.449951,3435.000000,3471.310059,3471.310059,7682400
2021-04-30,3525.120117,3554.000000,3462.500000,3467.419922,3467.419922,7009300
2021-05-03,3484.729980,3486.649902,3372.699951,3386.489990,3386.489990,5875500
2021-05-04,3356.189941,3367.979980,3272.129883,3311.870117,3311.870117,5439400
2021-05-05,3338.860107,3354.699951,3264.360107,3270.540039,3270.540039,3711300
2021-05-06,3270.000000,3314.399902,3247.199951,3306.370117,3306.370117,4447700
2021-05-07,3319.090088,3330.889893,3289.070068,3291.610107,3291.610107,4710300
2021-05-10,3282.320068,3283.000000,3190.000000,3190.489990,3190.489990,5838600
2021-05-11,3136.280029,3238.000000,3127.370117,3223.909912,3223.909912,4619800
2021-05-12,3185.000000,3207.939941,3133.100098,3151.939941,3151.939941,4936400
2021-05-13,3185.469971,3203.840088,3133.000000,3161.469971,3161.469971,3350900
2021-05-14,3185.560059,3228.860107,3183.000000,3222.899902,3222.899902,3325000
2021-05-17,3245.929932,3292.750000,3234.590088,3270.389893,3270.389893,3723900
2021-05-18,3292.580078,3312.000000,3230.370117,3232.280029,3232.280029,2828400
2021-05-19,3195.000000,3234.750000,3184.000000,3231.800049,3231.800049,2679700
2021-05-20,3244.399902,3259.679932,3236.179932,3247.679932,3247.679932,2633200
2021-05-21,3250.000000,3256.689941,3197.010010,3203.080078,3203.080078,4104900
2021-05-24,3215.500000,3257.949951,3210.500000,3244.989990,3244.989990,2422800
2021-05-25,3266.669922,3279.820068,3213.760010,3259.050049,3259.050049,3261100
2021-05-26,3274.590088,3295.729980,3258.510010,3265.159912,3265.159912,2384000
2021-05-27,3256.000000,3260.360107,3230.040039,3230.110107,3230.110107,2561200
2021-05-28,3242.000000,3247.989990,3219.699951,3223.070068,3223.070068,2329800
2021-06-01,3243.500000,3250.979980,3209.060059,3218.649902,3218.649902,2430000
2021-06-02,3223.100098,3235.000000,3208.000000,3233.989990,3233.989990,2014500
2021-06-03,3204.229980,3214.439941,3184.030029,3187.010010,3187.010010,2398300
2021-06-04,3212.000000,3221.000000,3198.810059,3206.219971,3206.219971,2249700
2021-06-07,3197.330078,3208.000000,3172.199951,3198.010010,3198.010010,2215800
2021-06-08,3222.610107,3279.530029,3218.010010,3264.110107,3264.110107,3416700
2021-06-09,3272.870117,3297.580078,3270.699951,3281.149902,3281.149902,2455500
2021-06-10,3282.010010,3351.000000,3281.149902,3349.649902,3349.649902,3476500
2021-06-11,3349.649902,3366.580078,3333.449951,3346.830078,3346.830078,2817400
2021-06-14,3346.830078,3385.000000,3335.500000,3383.870117,3383.870117,2569700
2021-06-15,3384.000000,3396.989990,3363.110107,3383.129883,3383.129883,2426200
2021-06-16,3392.000000,3426.350098,3360.530029,3415.250000,3415.250000,4202800
2021-06-17,3403.179932,3497.199951,3401.000000,3489.239990,3489.239990,5136500
2021-06-18,3479.989990,3507.000000,3473.709961,3486.899902,3486.899902,5247700
2021-06-21,3476.419922,3482.000000,3434.000000,3453.959961,3453.959961,3277100
2021-06-22,3458.060059,3523.780029,3456.090088,3505.439941,3505.439941,3345100
2021-06-23,3505.000000,3521.000000,3483.199951,3503.820068,3503.820068,2813300
2021-06-24,3507.639893,3524.860107,3430.850098,3449.080078,3449.080078,3832000
2021-06-25,3464.000000,3464.820068,3394.179932,3401.459961,3401.459961,3941000
2021-06-28,3416.000000,3448.000000,3413.510010,3443.889893,3443.889893,2242800
2021-06-29,3438.820068,3456.030029,3423.030029,3448.139893,3448.139893,2098400
2021-06-30,3441.060059,3471.600098,3435.000000,3440.159912,3440.159912,2404000
2021-07-01,3434.610107,3457.000000,3409.419922,3432.969971,3432.969971,2034200
